Route,Stop,Stops away,Distance
B57,SMITH ST/UNION ST,13,1.6
B57,SMITH ST/UNION ST,13,1.6
B57,SMITH ST/UNION ST,13,1.6
B57,SMITH ST/UNION ST,11,1.42
B57,SMITH ST/UNION ST,10,1.23
B57,SMITH ST/UNION ST,9,1.1
B57,SMITH ST/UNION ST,7,0.93
B57,SMITH ST/UNION ST,7,0.92
B57,SMITH ST/UNION ST,6,0.78
B57,SMITH ST/UNION ST,5,0.74
B57,SMITH ST/UNION ST,5,0.68
B57,SMITH ST/UNION ST,3,0.51
B57,SMITH ST/UNION ST,1,0.24
B57,SMITH ST/UNION ST,0,0.16
B57,SMITH ST/UNION ST,13,1.61
B57,SMITH ST/UNION ST,11,1.47
B57,SMITH ST/UNION ST,11,1.33
B57,SMITH ST/UNION ST,10,1.22
B57,SMITH ST/UNION ST,10,1.19
B57,SMITH ST/UNION ST,7,0.96
B57,SMITH ST/UNION ST,6,0.76
B57,SMITH ST/UNION ST,5,0.74
B57,SMITH ST/UNION ST,5,0.71
B57,SMITH ST/UNION ST,5,0.72
B57,SMITH ST/UNION ST,5,0.62
B57,SMITH ST/UNION ST,4,0.54
B57,SMITH ST/UNION ST,1,0.27
B57,SMITH ST/UNION ST,0,0.11
B57,SMITH ST/UNION ST,6,0.82
B57,SMITH ST/UNION ST,11,1.33
B57,SMITH ST/UNION ST,11,1.33
B57,SMITH ST/UNION ST,10,1.22
B57,SMITH ST/UNION ST,9,1.12
B57,SMITH ST/UNION ST,7,0.92
B57,SMITH ST/UNION ST,5,0.74
B57,SMITH ST/UNION ST,5,0.69
B57,SMITH ST/UNION ST,4,0.55
B57,SMITH ST/UNION ST,3,0.5
B57,SMITH ST/UNION ST,1,0.27
B57,SMITH ST/UNION ST,0,0.11
B57,SMITH ST/UNION ST,13,1.6
B57,SMITH ST/UNION ST,13,1.6
B57,SMITH ST/UNION ST,13,1.6
B57,SMITH ST/UNION ST,13,1.6
B57,SMITH ST/UNION ST,13,1.6
B57,SMITH ST/UNION ST,13,1.6
B57,SMITH ST/UNION ST,13,1.6
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,11,1.32
B57,SMITH ST/UNION ST,10,1.23
B57,SMITH ST/UNION ST,9,1.1
B57,SMITH ST/UNION ST,9,1.09
B57,SMITH ST/UNION ST,7,0.93
B57,SMITH ST/UNION ST,6,0.78
B57,SMITH ST/UNION ST,6,0.75
B57,SMITH ST/UNION ST,5,0.74
B57,SMITH ST/UNION ST,5,0.62
B57,SMITH ST/UNION ST,3,0.52
B57,SMITH ST/UNION ST,2,0.33
B57,SMITH ST/UNION ST,0,0.08
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.56
B57,SMITH ST/UNION ST,11,1.49
B57,SMITH ST/UNION ST,11,1.32
B57,SMITH ST/UNION ST,10,1.2
B57,SMITH ST/UNION ST,10,1.19
B57,SMITH ST/UNION ST,8,1.03
B57,SMITH ST/UNION ST,7,0.9
B57,SMITH ST/UNION ST,6,0.76
B57,SMITH ST/UNION ST,5,0.68
B57,SMITH ST/UNION ST,3,0.5
B57,SMITH ST/UNION ST,3,0.46
B57,SMITH ST/UNION ST,1,0.24
B57,SMITH ST/UNION ST,0,0.1
B57,SMITH ST/UNION ST,5,0.75
B57,SMITH ST/UNION ST,5,0.65
B57,SMITH ST/UNION ST,4,0.55
B57,SMITH ST/UNION ST,3,0.49
B57,SMITH ST/UNION ST,1,0.26
B57,SMITH ST/UNION ST,0,0.11
B57,SMITH ST/UNION ST,0,0.03
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,11,1.34
B57,SMITH ST/UNION ST,11,1.32
B57,SMITH ST/UNION ST,10,1.2
B57,SMITH ST/UNION ST,8,1.07
B57,SMITH ST/UNION ST,7,0.92
B57,SMITH ST/UNION ST,6,0.78
B57,SMITH ST/UNION ST,5,0.74
B57,SMITH ST/UNION ST,5,0.65
B57,SMITH ST/UNION ST,3,0.5
B57,SMITH ST/UNION ST,2,0.31
B57,SMITH ST/UNION ST,1,0.24
B57,SMITH ST/UNION ST,0,0.16
B57,SMITH ST/UNION ST,9,1.12
B57,SMITH ST/UNION ST,8,1.01
B57,SMITH ST/UNION ST,7,0.9
B57,SMITH ST/UNION ST,5,0.74
B57,SMITH ST/UNION ST,5,0.74
B57,SMITH ST/UNION ST,5,0.68
B57,SMITH ST/UNION ST,4,0.55
B57,SMITH ST/UNION ST,3,0.51
B57,SMITH ST/UNION ST,1,0.25
B57,SMITH ST/UNION ST,0,0.16
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,11,1.37
B57,SMITH ST/UNION ST,10,1.24
B57,SMITH ST/UNION ST,9,1.1
B57,SMITH ST/UNION ST,7,0.94
B57,SMITH ST/UNION ST,7,0.93
B57,SMITH ST/UNION ST,6,0.76
B57,SMITH ST/UNION ST,5,0.6
B57,SMITH ST/UNION ST,3,0.51
B57,SMITH ST/UNION ST,3,0.44
B57,SMITH ST/UNION ST,1,0.24
B57,SMITH ST/UNION ST,0,0.16
B57,SMITH ST/UNION ST,0,0.07
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,11,1.45
B57,SMITH ST/UNION ST,10,1.3
B57,SMITH ST/UNION ST,9,1.12
B57,SMITH ST/UNION ST,7,0.92
B57,SMITH ST/UNION ST,7,0.9
B57,SMITH ST/UNION ST,6,0.76
B57,SMITH ST/UNION ST,6,0.75
B57,SMITH ST/UNION ST,5,0.6
B57,SMITH ST/UNION ST,3,0.51
B57,SMITH ST/UNION ST,2,0.36
B57,SMITH ST/UNION ST,1,0.25
B57,SMITH ST/UNION ST,0,0.03
B57,SMITH ST/UNION ST,10,1.19
B57,SMITH ST/UNION ST,9,1.1
B57,SMITH ST/UNION ST,7,0.92
B57,SMITH ST/UNION ST,6,0.76
